Time (s),Voltage (mV)
0.0,877859.2796156
0.0,877859.35961
0.0,877859.3597153
0.0,877859.3598106
0.0,877859.3599057
0.0,877859.3599996
0.0,877859.360092
0.0,877859.3601837
3.0,877859.3602765
0.0,877859.3603698
0.0,877859.3604623
0.0,877859.3605539
0.0,877859.360646
0.0,877859.3607372
0.0,877859.3608301
0.0,877859.3609221
0.0,877859.3610145
0.0,877859.3611062
0.0,877859.3611991
3.0,877859.3612919
0.0,877859.3613843
0.0,877859.3614772
0.0,877859.3615698
0.0,877859.3616637
0.0,877859.361756
0.0,877859.3618481
0.0,877859.3619395
0.0,877859.3620313
0.0,877859.3621221
0.0,877859.3622138
0.0,877859.3623056
0.0,877859.3623964
0.0,877859.3624889
0.0,877859.3625803
0.0,877859.362673
0.0,877859.3628733
0.0,877859.3629702
0.0,877859.3630634
0.0,877859.3631558
0.0,877859.3632475
0.0,877859.3633388
0.0,877859.363432
0.0,877859.3635235
0.0,877859.3636147
0.0,877859.3637068
0.0,877859.3637997
0.0,877859.3638909
0.0,877859.3639825
0.0,877859.3640752
0.0,877859.3641673
0.0,877859.364259
0.0,877859.3643509
0.0,877859.3644429
0.0,877859.3645353
0.0,877859.3646272
0.0,877859.36472
0.0,877859.3648127
0.0,877859.3649057
0.0,877859.3649975
0.0,877859.3650896
0.0,877859.3651812
0.0,877859.3652733
0.0,877859.3653654
0.0,877859.3654576
0.0,877859.3655494
0.0,877859.365642
0.0,877859.3657339
0.0,877859.3658257
0.0,877859.3659185
0.0,877859.3660104
0.0,877859.3661017
0.0,877859.3661954
0.0,877859.3662881
0.0,877859.3663808
0.0,877859.3664733
0.0,877859.366566
0.0,877859.366659
3.0,877859.3667518
0.0,877859.3668449
0.0,877859.3669375
0.0,877859.3670299
0.0,877859.3671221
0.0,877859.3672148
0.0,877859.367308
3.0,877859.3674004
0.0,877859.367493
0.0,877859.3675859
0.0,877859.3676793
0.0,877859.3677718
0.0,877859.3678655
0.0,877859.3679578
0.0,877859.3680501
0.0,877859.3681424
0.0,877859.3682367
0.0,877859.368329
0.0,877859.3684215
0.0,877859.3685136
0.0,877859.3686064
0.0,877859.3686986
0.0,877859.3687914
6.0,877859.3688839
0.0,877859.3689763
0.0,877859.3690674
0.0,877859.3691592
0.0,877859.3692518
0.0,877859.369345
0.0,877859.3694379
3.0,877859.3695305
0.0,877859.3696233
0.0,877859.3697164
0.0,877859.3698079
0.0,877859.3699017
0.0,877859.3699943
0.0,877859.3700862
0.0,877859.3701786
0.0,877859.3702703
0.0,877859.3703627
0.0,877859.3704549
0.0,877859.3705476
0.0,877859.3706413
0.0,877859.3707351
0.0,877859.3708279
0.0,877859.3709208
0.0,877859.3710139
0.0,877859.3711076
0.0,877859.3712007
0.0,877859.3712922
0.0,877859.3713838
0.0,877859.3714754
0.0,877859.3715676
0.0,877859.3716599
0.0,877859.3717513
0.0,877859.3718427
6.0,877859.3719356
0.0,877859.3720283
0.0,877859.3721214
0.0,877859.3722141
0.0,877859.3723069
0.0,877859.3724004
0.0,877859.3724923
0.0,877859.3725843
0.0,877859.3726765
0.0,877859.3727692
0.0,877859.3728625
0.0,877859.3729556
0.0,877859.3730482
0.0,877859.3731398
0.0,877859.3732317
0.0,877859.3733238
0.0,877859.3734174
0.0,877859.3735107
0.0,877859.373604
0.0,877859.3736977
0.0,877859.3737921
0.0,877859.3738837
0.0,877859.3739755
0.0,877859.3740674
0.0,877859.3741592
0.0,877859.3742506
0.0,877859.3743428
0.0,877859.3744348
0.0,877859.374527
0.0,877859.3746186
0.0,877859.3747101
0.0,877859.3748015
0.0,877859.3748931
0.0,877859.375046
0.0,877859.3751472
0.0,877859.375242
0.0,877859.3753518
6.0,877859.3754445
0.0,877859.3755352
0.0,877859.3756256
0.0,877859.3757171
0.0,877859.375807
0.0,877859.3758972
0.0,877859.3759882
0.0,877859.3760782
0.0,877859.3761683
0.0,877859.3762584
0.0,877859.3763478
0.0,877859.376437
0.0,877859.3765267
0.0,877859.3766165
0.0,877859.3767059
0.0,877859.3767955
0.0,877859.3768849
0.0,877859.3769743
0.0,877859.3770637
0.0,877859.377153
0.0,877859.3772433
0.0,877859.3773336
0.0,877859.3774229
0.0,877859.3775123
0.0,877859.3776029
0.0,877859.3776924
0.0,877859.3777823
0.0,877859.3778726
0.0,877859.377963
0.0,877859.3780536
0.0,877859.3781448
0.0,877859.3782357
0.0,877859.3783269
3.0,877859.378418
0.0,877859.3785091
0.0,877859.3785999
0.0,877859.3786911
0.0,877859.3787821
0.0,877859.3790368
0.0,877859.3791824
0.0,877859.3792784
0.0,877859.3793723
0.0,877859.3794645
0.0,877859.3795583
0.0,877859.3796505
0.0,877859.3797416
0.0,877859.3798327
0.0,877859.379924
0.0,877859.3800146
0.0,877859.3801061
0.0,877859.3801977
0.0,877859.3802891
0.0,877859.3803799
0.0,877859.3804715
0.0,877859.3805628
0.0,877859.380655
0.0,877859.3807474
0.0,877859.3808399
0.0,877859.3809314
0.0,877859.3810239
3.0,877859.3811164
0.0,877859.381208
0.0,877859.3812999
0.0,877859.3813937
0.0,877859.3814859
0.0,877859.3815776
0.0,877859.3816688
3.0,877859.3817599
0.0,877859.3818518
0.0,877859.3819431
0.0,877859.3820346
0.0,877859.3821263
0.0,877859.3822185
0.0,877859.3823095
0.0,877859.3824012
0.0,877859.3824936
0.0,877859.3825865
0.0,877859.3826795
0.0,877859.3827713
0.0,877859.382863
0.0,877859.3829537
0.0,877859.3830447
0.0,877859.3831373
0.0,877859.3832292
0.0,877859.3833214
0.0,877859.3834125
0.0,877859.3835042
0.0,877859.3835951
0.0,877859.383686
0.0,877859.3837769
0.0,877859.3838691
0.0,877859.3839624
0.0,877859.3840581
3.0,877859.384201
0.0,877859.3843378
0.0,877859.3844714
0.0,877859.384606
0.0,877859.3847404
0.0,877859.3848728
0.0,877859.3850079
0.0,877859.3851409
0.0,877859.3852603
0.0,877859.3853554
0.0,877859.3854482
3.0,877859.3855411
0.0,877859.3856334
