Time (s),Voltage (mV)
878974.7706894,0.0
878974.8495542,0.0
878974.8496719,0.0
878974.8497787,0.0
878974.8499099,6.0
878974.8500146,0.0
878975.0896507,0.0
878976.0901971,0.0
878977.0901851,0.0
878978.0901489,0.0
878979.0896259,0.0
878980.0896203,0.0
878981.0901093,0.0
878982.0901022,0.0
878983.0901193,0.0
878984.0900733,0.0
878985.0900501,0.0
878986.0900457,0.0
878987.0895193,0.0
878988.0900142,0.0
878989.0899372,0.0
878990.0894862,0.0
878991.0900189,0.0
878992.0899549,0.0
878993.0899548,0.0
878994.0899064,0.0
878995.0899246,0.0
