Time (s),Voltage (mV)
878490.7543748,0.0
878490.8315744,0.0
878490.8316717,0.0
878490.8317603,0.0
878490.8318473,0.0
878490.8319334,0.0
878490.8320185,0.0
878490.8321035,0.0
878490.832188,0.0
878490.8322734,0.0
878490.8323571,0.0
878490.8324431,0.0
878490.8325272,0.0
878490.8326113,0.0
878490.8326954,0.0
878490.8327793,0.0
878490.8328641,0.0
878490.8329495,0.0
878490.833034,0.0
878490.8331182,0.0
878490.8332032,0.0
878490.8332878,0.0
878490.8333717,0.0
878490.8334584,0.0
878490.8335425,0.0
878490.8336264,0.0
878490.8337104,0.0
878490.8337946,0.0
878490.8338783,0.0
878490.8339628,0.0
878490.8341228,0.0
878490.8342802,0.0
878490.8343983,0.0
878490.8344859,0.0
878490.8346197,0.0
878490.8347046,0.0
878490.8347891,0.0
878490.8348734,0.0
878490.8349588,0.0
878490.8350432,0.0
878490.8351278,0.0
878490.8352135,0.0
878490.8352983,0.0
878490.8353823,0.0
878490.8354671,0.0
878490.8355519,0.0
878490.8356362,0.0
878490.8357205,0.0
878490.8358054,0.0
878490.8358891,0.0
878490.8359733,0.0
878490.8360575,0.0
878490.8361424,0.0
878490.836227,0.0
878490.8363114,0.0
878490.8363957,0.0
878490.8364798,0.0
878490.8365641,0.0
878490.8366487,0.0
878490.8367332,0.0
878490.8368174,0.0
878490.8369018,0.0
878490.836986,0.0
878490.83707,0.0
878490.8371543,0.0
878490.8372387,0.0
878490.8373238,0.0
878490.8374083,0.0
878490.8374927,0.0
878490.8375767,0.0
878490.8376608,0.0
878490.8377468,0.0
878490.8378336,0.0
878490.8379184,0.0
878490.8380029,0.0
878490.8380874,0.0
878490.8381716,0.0
878490.8382568,0.0
878490.838341,0.0
878490.8384253,0.0
878490.8385093,0.0
878490.8385938,0.0
878490.838678,0.0
878490.8387626,0.0
878490.8388464,0.0
878490.8389309,0.0
878490.8390148,0.0
878490.8391003,0.0
878490.8391848,0.0
878490.8392686,0.0
878490.8393531,0.0
878490.8394373,0.0
878490.8395215,0.0
878490.8396064,3.0
878490.8396914,0.0
878490.8397761,0.0
878490.8398603,0.0
878490.8399441,0.0
878490.8400283,0.0
878490.8401121,0.0
878490.8401959,0.0
878490.8402801,0.0
878490.8403649,0.0
878490.840449,0.0
878490.8405336,0.0
878490.8406178,0.0
878490.8407027,0.0
878490.8407875,0.0
878490.8408722,0.0
878490.840958,0.0
878490.8410434,0.0
878490.8411279,0.0
878490.8412127,0.0
878490.8412973,0.0
878490.8413818,0.0
878490.841466,0.0
878490.8415507,0.0
878490.8416353,0.0
878490.8417196,6.0
878490.8418043,0.0
878490.8418886,0.0
878490.8419733,0.0
878490.8420581,0.0
878490.8421428,0.0
878490.842227,0.0
878490.8423113,0.0
878490.8423955,0.0
878490.8424797,3.0
878490.8425646,0.0
878490.842649,0.0
878490.8427333,0.0
878490.8428176,0.0
878490.8429022,0.0
878490.8429861,0.0
878490.84307,0.0
878490.8431538,0.0
878490.8432378,0.0
878490.8433217,0.0
878490.8434062,0.0
878490.8434901,0.0
878490.8435742,0.0
878490.8436584,0.0
878490.8437426,0.0
878490.8438265,0.0
878490.843911,0.0
