Time (s),Voltage (mV)
885273.2130323,0.0
885273.2902439,0.0
885273.2903657,0.0
885273.2904889,0.0
885273.2905924,0.0
885273.2906976,0.0
885273.2908031,0.0
885273.2909037,3.0
885273.2910127,0.0
885273.2911118,0.0
885273.2912147,0.0
885273.2913229,0.0
885273.291419,0.0
885273.2915206,0.0
885273.2916248,0.0
885273.2917212,0.0
885273.2918797,0.0
885273.2920155,0.0
885273.2921172,0.0
885273.2922252,0.0
885273.2923226,0.0
885273.2924232,0.0
885273.2925294,0.0
885273.292629,0.0
885273.2927304,0.0
885273.2928358,0.0
885273.2929343,0.0
885273.2930378,0.0
885273.2931417,3.0
885273.293243,0.0
885273.2933501,0.0
885273.2934468,0.0
885273.2935483,0.0
885273.2936552,0.0
885273.2937522,0.0
885273.2938536,0.0
885273.2939585,0.0
885273.294056,0.0
885273.2941572,0.0
885273.2942585,0.0
885273.294357,0.0
885273.2944657,0.0
885273.2945612,0.0
885273.2946621,0.0
885273.2947677,0.0
885273.2948634,0.0
885273.294965,0.0
885273.2972143,3.0
885273.3972578,0.0
885273.4970274,0.0
885273.5975571,0.0
885273.6968719,0.0
885273.7972087,113.0
885273.8973021,906.0
885273.9972948,1423.0
885274.0972385,1277.0
885274.1973325,1913.0
885274.2972909,2161.0
885274.3968342,2468.0
885274.4973192,2623.0
885274.5972864,2665.0
885274.6968251,2494.0
885274.7972886,1681.0
885274.8972678,377.0
885274.9971405,0.0
885275.0972315,0.0
885275.1968295,0.0
885275.2971989,0.0
885275.3972086,0.0
885275.4967393,155.0
885275.5972294,1200.0
885275.697238,2077.0
885275.7971582,2352.0
885275.8972381,2523.0
885275.997242,2610.0
885276.0967098,2629.0
885276.1972274,2639.0
885276.2972275,2613.0
885276.3972309,2671.0
885276.4970676,2677.0
885276.5972256,2635.0
885276.6972277,2445.0
885276.7972294,2055.0
885276.89742,1281.0
885276.997217,368.0
885277.0971984,0.0
885277.1967375,0.0
885277.2971919,0.0
885277.3971675,0.0
885277.4970064,0.0
885277.597205,1629.0
885277.6968211,2329.0
885277.7966953,2439.0
885277.8971996,2510.0
885277.9969738,2558.0
885278.0971993,2529.0
885278.1972022,2535.0
885278.2971438,2519.0
885278.3972333,2481.0
885278.4970703,2442.0
885278.5971439,2481.0
885278.6972321,2516.0
885278.7971964,2468.0
885278.8970298,2203.0
885278.9972379,1635.0
885279.0971806,619.0
885279.1971637,0.0
885279.2971598,0.0
885279.3972006,0.0
885279.4966653,0.0
885279.597161,984.0
885279.6966873,1884.0
885279.796779,2223.0
885279.8972075,2435.0
885279.997208,2477.0
885280.0972108,2513.0
885280.1966727,2532.0
885280.2971705,2513.0
885280.3972057,2474.0
885280.4968289,2429.0
885280.5971692,2410.0
885280.6966406,2190.0
885280.7972037,1848.0
885280.8971985,1271.0
885280.997169,3.0
885281.0967133,0.0
885281.1965585,0.0
885281.2966346,0.0
885281.3965777,90.0
885281.4966919,1506.0
885281.5965897,2010.0
885281.696592,2287.0
885281.7966343,2355.0
885281.8966483,2335.0
885281.99705,2390.0
885282.0970267,2355.0
885282.1970406,2300.0
885282.2971378,2323.0
885282.3966999,2390.0
885282.4968898,2542.0
885282.5970438,2503.0
885282.6966319,2439.0
885282.7971351,2413.0
885282.8971451,2468.0
885282.9970512,2468.0
885283.0971356,2426.0
885283.1971312,2200.0
885283.2970861,2019.0
885283.397069,1274.0
885283.4966152,232.0
885283.5971069,0.0
885283.6970793,0.0
885283.797085,0.0
885283.8970044,0.0
885283.9970023,0.0
885284.0970933,0.0
885284.1971102,1665.0
885284.2971108,2242.0
885284.3971177,2487.0
885284.4965982,2542.0
885284.597107,2590.0
885284.6971142,2571.0
885284.797115,2600.0
885284.897117,2590.0
885284.9970259,2552.0
885285.0971197,2532.0
885285.1969689,2494.0
885285.2971079,2348.0
885285.397108,2055.0
885285.4966052,1648.0
885285.5970947,706.0
885285.6970786,0.0
885285.7970542,0.0
885285.8970538,0.0
885285.9969636,0.0
885286.0970566,0.0
885286.1970573,0.0
885286.2969858,3.0
885286.3970829,1013.0
885286.4972662,2103.0
885286.5970934,2358.0
885286.6970859,2400.0
885286.7974937,2319.0
885286.8970243,2239.0
