Time (s),Voltage (mV)
879657.8209483,0.0
879657.9007183,0.0
879657.9008614,0.0
879657.9009722,0.0
879657.9010762,0.0
879657.9011839,0.0
879657.9012845,0.0
879657.9013841,0.0
879657.9014896,0.0
879657.9015914,0.0
879657.9016905,0.0
879657.901797,0.0
879657.9018964,0.0
879657.9020003,0.0
879657.9021,0.0
879657.9021986,3.0
879657.9023012,0.0
879657.9024007,0.0
879657.9024991,0.0
879657.9026024,0.0
879657.9027039,0.0
879657.9028029,0.0
879657.9029064,0.0
879657.9030073,0.0
879657.903111,0.0
879657.9032107,0.0
879657.9033102,0.0
879657.9034125,0.0
879657.9035113,0.0
879657.9036096,0.0
879657.9037124,0.0
879657.9038111,0.0
879657.9039094,0.0
879657.9040125,0.0
879657.9041107,0.0
879657.9042127,0.0
879657.9043107,0.0
879657.9044084,0.0
879657.9045102,0.0
879657.9046083,0.0
879657.9047061,0.0
879657.9048093,0.0
879657.9049074,0.0
879657.9050047,0.0
879657.9051069,0.0
879657.9052052,0.0
879657.9053075,0.0
879657.9054058,0.0
879657.9055036,0.0
879657.9056048,0.0
879657.905703,0.0
879657.9058007,0.0
879657.905903,0.0
879657.9060017,0.0
879657.9060998,0.0
879657.9062021,0.0
879657.9063006,0.0
879657.9064233,0.0
879657.9065245,0.0
879657.9066235,0.0
879657.9067257,0.0
879657.906825,0.0
879657.9069231,0.0
879657.9070261,0.0
879657.9071245,0.0
879657.9072225,0.0
879657.9073256,0.0
879657.9074246,0.0
879657.9075266,0.0
879657.9076266,0.0
879657.9077261,0.0
879657.9078307,0.0
879657.9079294,0.0
879657.9080274,0.0
879657.90813,0.0
879657.9082287,0.0
879657.9083268,0.0
879657.9084308,0.0
879657.90853,0.0
879657.9086327,0.0
879657.9087311,0.0
879657.9088289,0.0
879657.9089303,0.0
879657.9090301,0.0
879657.9091283,0.0
879657.9092311,0.0
879657.9093785,0.0
879657.9095098,0.0
879657.9096283,0.0
879657.9097325,0.0
879657.9098396,0.0
879657.9099529,0.0
879657.9100545,0.0
879657.9101601,0.0
879657.91026,0.0
879657.91036,0.0
879657.9104644,0.0
879657.9105636,3.0
879657.9106616,3.0
879657.9107657,3.0
879657.9108687,0.0
879657.9110352,0.0
879657.9111377,3.0
879657.9112375,0.0
879657.911342,0.0
879657.9114416,0.0
879657.9115414,0.0
879657.9116463,0.0
879657.9117458,0.0
879657.9118449,0.0
879657.9119494,3.0
879657.9120489,0.0
879657.9121515,0.0
879657.9122508,0.0
879657.9123501,0.0
879657.9124527,3.0
879657.9125522,0.0
879657.9126515,0.0
879657.9127549,6.0
879657.912855,0.0
879657.9129551,0.0
879657.9130601,0.0
879657.9131593,0.0
879657.9132624,0.0
879657.9133619,0.0
879657.9134615,0.0
879657.9135646,0.0
879657.9136635,0.0
879657.9137622,0.0
879657.9138665,0.0
879657.913966,0.0
879657.9140649,0.0
879657.9141689,0.0
879657.9142684,0.0
879657.9143716,0.0
879657.9144707,0.0
879657.9145697,0.0
879657.9146734,0.0
879657.9147734,0.0
879657.9148722,0.0
879657.9149753,0.0
879657.9150746,0.0
879657.9151727,0.0
879657.9152766,0.0
879657.9153758,0.0
879657.9154789,0.0
879657.9155782,0.0
879657.915677,0.0
879657.915779,0.0
879657.9158796,0.0
879657.9159784,0.0
879657.9160815,0.0
879657.9161814,0.0
879657.9162825,0.0
879657.9163867,0.0
879657.9164857,0.0
879657.9165888,0.0
879657.9166878,0.0
879657.9167857,0.0
879657.9168883,0.0
879657.916987,3.0
879657.9170856,0.0
879657.9171886,0.0
879657.9172872,0.0
879657.9173848,0.0
879657.9174888,0.0
879657.9175877,0.0
879657.917691,0.0
879657.9177909,0.0
879657.9178897,0.0
879657.9179923,0.0
879657.9180912,0.0
879657.9181894,0.0
879657.9182928,0.0
879657.918392,0.0
879657.9184905,6.0
879657.9185936,0.0
879657.9186918,0.0
879657.918794,0.0
879657.9188925,0.0
879657.9189904,0.0
879657.9190931,0.0
879657.9191918,0.0
879657.9192902,0.0
879657.919393,0.0
879657.9194916,0.0
879657.9195894,0.0
879657.919693,0.0
879657.9197913,0.0
879657.9198946,0.0
879657.9199936,0.0
879657.9200923,0.0
879657.9201946,0.0
879657.9202931,0.0
879657.9203922,0.0
879657.920496,0.0
879657.9205953,0.0
879657.9206939,0.0
879657.9207974,0.0
879657.9208964,0.0
879657.9209995,0.0
879657.9210994,0.0
879657.9211981,0.0
879657.9213011,0.0
879657.9214003,0.0
879657.9214993,0.0
879657.9216022,0.0
879657.9217005,0.0
879657.9217983,0.0
879657.9219013,0.0
879657.9219992,0.0
879657.9221013,0.0
879657.9221994,0.0
879657.9222976,0.0
879657.9223995,0.0
879657.9224982,0.0
879657.9225961,0.0
879657.9226986,0.0
879657.922797,0.0
879657.9228947,0.0
879657.9229971,0.0
879657.9230955,0.0
879657.9231976,0.0
879657.9232961,0.0
879657.923395,0.0
879657.9234976,0.0
879657.9235959,0.0
879657.9236937,0.0
879657.9237956,0.0
879657.9238936,0.0
879657.9239914,0.0
879657.9240945,0.0
879657.9241927,0.0
879657.9242955,0.0
879657.9243943,0.0
879657.9244932,0.0
879657.9245956,0.0
879657.924694,0.0
879657.9247922,0.0
879657.9248947,0.0
879657.9249931,0.0
879657.9250903,0.0
879657.9251935,0.0
879657.9252917,0.0
879657.9253945,0.0
879657.925498,0.0
879657.9255991,0.0
879657.9257021,0.0
879657.9258021,0.0
879657.9259008,0.0
879657.9260044,0.0
879657.926103,0.0
879657.9262017,0.0
879657.9263049,0.0
879657.9264038,0.0
879657.9265076,0.0
879657.9266756,0.0
879657.9267769,0.0
879657.9268817,0.0
879657.9269814,3.0
879657.9270804,0.0
879657.9271843,0.0
879657.9272843,0.0
879657.9273831,0.0
879657.9274873,0.0
879657.9275864,0.0
879657.9276897,0.0
879657.9277893,0.0
879657.9278884,0.0
879657.9279923,0.0
879657.9280916,0.0
879657.92819,0.0
879657.9282937,0.0
879657.9283933,0.0
879657.9284923,0.0
879657.928596,0.0
879657.9286957,0.0
879657.9287986,0.0
879657.9288985,0.0
879657.928997,0.0
879657.9290996,0.0
879657.9291987,0.0
879657.9292975,0.0
879657.9294004,0.0
879657.9294995,0.0
879657.9295976,0.0
879657.9297008,0.0
879657.9298004,0.0
879657.9299034,0.0
879657.930003,0.0
879657.9301018,0.0
879657.9302044,0.0
879657.9303037,0.0
879657.930403,0.0
879657.930507,0.0
879657.9306064,0.0
879657.9307051,0.0
879657.930808,0.0
879657.9309077,3.0
879657.9310109,0.0
879657.9311101,0.0
879657.9312092,0.0
879657.9313123,0.0
879657.9314114,3.0
879657.9315105,0.0
879657.9316139,0.0
879657.9317124,0.0
879657.9318105,0.0
879657.9319138,0.0
879657.9320137,0.0
879657.9321173,0.0
879657.9322168,0.0
879657.9323158,0.0
879657.9324185,0.0
879657.9325183,3.0
879657.9326173,0.0
879657.9327207,0.0
879657.9328197,0.0
879657.9329183,0.0
879657.9330218,0.0
879657.9331207,0.0
879657.9332232,0.0
879657.9333216,0.0
879657.9334207,0.0
879657.9335237,0.0
879657.9336227,0.0
879657.9337216,0.0
879657.9338267,0.0
879657.9339263,0.0
879657.9340239,0.0
879657.9341273,0.0
879657.9342258,0.0
879657.9343277,0.0
879657.9344263,0.0
879657.9345248,0.0
879657.9346268,0.0
879657.9347258,0.0
879657.9348245,0.0
879657.9349281,0.0
879657.9350286,0.0
879657.9351268,0.0
879657.9352305,0.0
879657.9353297,0.0
879657.9354326,0.0
879657.9355324,0.0
879657.9356313,0.0
879657.935734,0.0
879657.9358328,0.0
879657.9359321,0.0
879657.9360353,0.0
879657.9361345,0.0
879657.936233,0.0
879657.9363369,0.0
879657.9364367,0.0
879657.9365394,0.0
879657.936638,0.0
879657.9367366,0.0
879657.9368387,0.0
879657.9369376,0.0
879657.9370362,0.0
879657.9371407,0.0
879657.9372406,0.0
879657.9373397,0.0
879657.9374456,0.0
