Time (s),Voltage (mV)
879983.1115994,0.0
879983.1918131,0.0
879983.1919183,0.0
879983.192013,0.0
879983.1921073,0.0
879983.192202,0.0
879983.192295,0.0
879983.1923867,0.0
879983.1924775,0.0
879983.1925703,0.0
879983.1926625,0.0
879983.1927546,0.0
879983.192847,0.0
879983.1929385,0.0
879983.19303,0.0
879983.1931213,0.0
879983.1932131,3.0
879983.1933056,0.0
879983.1933967,0.0
879983.193488,0.0
879983.19358,0.0
879983.1936716,0.0
879983.1937613,0.0
879983.1938546,0.0
879983.1939473,0.0
879983.1940386,0.0
879983.1941306,0.0
879983.1942218,0.0
879983.1943131,3.0
879983.1944037,0.0
879983.1944946,0.0
879983.1945845,0.0
879983.194675,0.0
879983.1947652,0.0
879983.1948555,0.0
879983.1949503,0.0
879983.1950421,0.0
879983.1951331,0.0
879983.1952234,0.0
879983.1953135,0.0
879983.1954037,0.0
879983.1954944,0.0
879983.195585,0.0
879983.1956758,0.0
879983.1957667,0.0
879983.195857,0.0
879983.1959474,0.0
879983.196038,0.0
879983.1961284,0.0
879983.1962187,0.0
879983.19631,0.0
879983.1964008,0.0
879983.1964919,0.0
879983.1965825,0.0
879983.1966733,0.0
879983.1967638,6.0
879983.1968545,0.0
879983.1969447,0.0
879983.1970356,0.0
879983.1971264,0.0
879983.1972166,0.0
879983.1973066,0.0
879983.1973974,0.0
879983.1974882,0.0
879983.1975786,0.0
879983.1976695,0.0
879983.1977601,0.0
879983.1978506,0.0
879983.1979419,0.0
879983.1980324,0.0
879983.198123,0.0
879983.1982152,0.0
879983.198306,0.0
879983.1983966,0.0
879983.1984874,0.0
879983.1985773,0.0
879983.1986678,0.0
879983.1987591,0.0
879983.1988499,0.0
879983.1989402,0.0
879983.1990309,3.0
879983.1991215,0.0
879983.199212,0.0
879983.1993045,0.0
879983.1993952,0.0
879983.1994854,0.0
879983.1996875,0.0
879983.1997973,0.0
879983.1998913,0.0
879983.199983,0.0
879983.2000742,0.0
879983.2001655,0.0
879983.2002576,0.0
879983.2003505,0.0
879983.2004417,0.0
879983.200534,3.0
879983.2006253,0.0
879983.2007175,0.0
879983.2008085,0.0
879983.2009267,0.0
879983.2010331,0.0
879983.2011237,0.0
879983.2012155,0.0
879983.2013062,0.0
879983.2013968,0.0
879983.2014875,0.0
879983.2015781,0.0
879983.2016685,0.0
879983.2017588,0.0
879983.2018495,0.0
879983.2019399,0.0
879983.2020298,3.0
879983.2021204,0.0
879983.2022109,0.0
879983.2023015,0.0
879983.2023921,3.0
879983.2024825,0.0
879983.2025723,0.0
879983.2026621,3.0
