Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0047"
"0.0200","0.0000","0.0081"
"0.0400","0.0001","-0.0037"
"0.0600","0.0004","-0.0073"
"0.0800","0.0008","0.0079"
"0.1000","0.0016","0.0120"
"0.1200","0.0035","-0.0006"
"0.1400","0.0067","0.0123"
"0.1600","0.0103","0.0237"
"0.1800","0.0139","-0.0006"
"0.2000","0.0175","0.0234"
"0.2200","0.0211","0.0177"
"0.2400","0.0246","0.0115"
"0.2600","0.0280","0.0162"
"0.2800","0.0315","0.0133"
"0.3000","0.0351","0.0223"
"0.3200","0.0386","0.0242"
"0.3400","0.0417","0.0223"
"0.3600","0.0444","0.0135"
"0.3800","0.0469","0.0224"
"0.4000","0.0495","0.0279"
"0.4200","0.0524","0.0428"
"0.4400","0.0554","0.0428"
"0.4600","0.0586","0.0404"
"0.4800","0.0621","0.0306"
"0.5000","0.0658","0.0439"
"0.5200","0.0697","0.0239"
"0.5400","0.0737","0.0270"
"0.5600","0.0775","0.0477"
"0.5800","0.0811","0.0493"
"0.6000","0.0848","0.0438"
"0.6200","0.0885","0.0408"
"0.6400","0.0920","0.0373"
"0.6600","0.0949","0.0424"
"0.6800","0.0976","0.0475"
"0.7000","0.1002","0.0496"
"0.7200","0.1030","0.0558"
"0.7400","0.1059","0.0473"
"0.7600","0.1089","0.0525"
"0.7800","0.1121","0.0513"
"0.8000","0.1157","0.0583"
"0.8200","0.1195","0.0577"
"0.8400","0.1233","0.0641"
"0.8600","0.1271","0.0614"
"0.8800","0.1306","0.0586"
"0.9000","0.1341","0.0738"
"0.9200","0.1376","0.0654"
"0.9400","0.1411","0.0627"
"0.9600","0.1444","0.0643"
"0.9800","0.1472","0.0681"
"1.0000","0.1498","0.0721"
"1.0200","0.1525","0.0686"
"1.0400","0.1554","0.0715"
"1.0600","0.1585","0.0718"
"1.0800","0.1618","0.0816"
"1.1000","0.1653","0.0792"
"1.1200","0.1691","0.0834"
"1.1400","0.1730","0.0893"
"1.1600","0.1770","0.0715"
"1.1800","0.1808","0.0759"
"1.2000","0.1844","0.0971"
"1.2200","0.1879","0.0967"
"1.2400","0.1915","0.0899"
"1.2600","0.1950","0.0833"
"1.2800","0.1981","0.0910"
"1.3000","0.2008","0.0913"
"1.3200","0.2034","0.0996"
"1.3400","0.2062","0.1036"
"1.3600","0.2092","0.0956"
"1.3800","0.2122","0.1107"
"1.4000","0.2154","0.1020"
"1.4200","0.2188","0.0922"
"1.4400","0.2225","0.1089"
"1.4600","0.2264","0.1051"
"1.4800","0.2302","0.1099"
"1.5000","0.2337","0.1036"
"1.5200","0.2372","0.1055"
"1.5400","0.2407","0.1168"
"1.5600","0.2444","0.1140"
"1.5800","0.2478","0.1180"
"1.6000","0.2508","0.1095"
"1.6200","0.2535","0.1182"
"1.6400","0.2561","0.1266"
"1.6600","0.2589","0.1151"
"1.6800","0.2619","0.1309"
"1.7000","0.2650","0.1232"
"1.7200","0.2684","0.1238"
"1.7400","0.2721","0.1380"
"1.7600","0.2760","0.1356"
"1.7800","0.2800","0.1322"
"1.8000","0.2840","0.1364"
"1.8200","0.2878","0.1413"
"1.8400","0.2914","0.1367"
"1.8600","0.2950","0.1490"
"1.8800","0.2985","0.1549"
"1.9000","0.3017","0.1312"
"1.9200","0.3044","0.1465"
"1.9400","0.3069","0.1507"
"1.9600","0.3095","0.1420"
"1.9800","0.3124","0.1537"
"2.0000","0.3154","0.1547"
"2.0200","0.3184","0.1606"
"2.0400","0.3217","0.1637"
"2.0600","0.3253","0.1560"
"2.0800","0.3292","0.1554"
"2.1000","0.3330","0.1640"
"2.1200","0.3367","0.1653"
